,X,exp,wks,bluecol,ind,south,smsa,married,gender,union,edu,col,lwage
33,33,14,47,1,0,0,1,1,0,0,16,0,7.04752
34,34,15,47,0,0,0,0,1,0,0,16,0,7.31322
35,35,16,49,0,0,0,0,1,0,0,16,0,7.29574
36,36,26,44,1,1,0,1,1,0,0,12,0,6.90575
37,37,27,47,1,1,0,1,1,0,0,12,0,6.90575
38,38,28,47,1,1,0,1,1,0,0,12,0,6.90776
39,39,29,47,1,1,0,1,1,0,0,12,0,7.00307
40,40,30,44,1,1,0,1,1,0,0,12,0,7.06902
41,41,31,45,1,1,0,1,1,0,0,12,0,7.52023
42,42,32,47,1,1,0,1,1,0,0,12,0,7.33889
43,43,15,46,1,0,0,0,1,0,1,12,0,6.1334
44,44,16,48,1,0,0,0,1,0,1,12,0,6.17379
45,45,17,49,1,0,0,0,1,0,1,12,0,6.21261
46,46,18,46,1,0,0,0,1,0,1,12,0,6.31355
47,47,19,47,1,0,0,0,1,0,1,12,0,6.37502
48,48,20,47,1,0,0,0,1,0,1,12,0,6.44572
49,49,21,48,1,0,0,0,1,0,1,12,0,6.52209
50,50,23,51,1,1,1,0,1,0,1,10,0,6.3315
51,51,24,50,1,1,1,0,1,0,1,10,0,6.40357
52,52,25,50,1,1,1,0,1,0,1,10,0,6.54391
53,53,26,50,1,1,1,0,1,0,1,10,0,6.56244
54,54,27,44,1,1,0,1,1,0,1,10,0,6.59167
55,55,28,51,1,1,0,1,1,0,1,10,0,6.81783
56,56,29,51,1,1,0,1,1,0,1,10,0,6.89163
57,57,3,50,0,0,1,1,1,0,0,16,0,6.55108
58,58,4,48,0,0,1,1,1,0,0,16,0,6.55108
59,59,5,50,0,0,1,1,1,0,0,16,0,6.80239
60,60,6,48,0,0,1,1,1,0,0,16,0,6.90776
61,61,7,48,0,0,1,1,1,0,0,16,0,7.09008
62,62,8,44,0,0,1,1,1,0,0,16,0,7.17012
63,63,9,48,0,0,1,1,1,0,0,16,0,7.20786
64,64,3,49,0,0,1,1,1,0,0,16,0,6.39693
65,65,4,47,0,0,1,1,1,0,0,16,0,6.43775
66,66,5,46,0,0,1,1,1,0,0,16,0,6.43775
67,67,6,44,0,0,1,1,1,0,0,16,0,6.43775
68,68,7,43,0,0,1,1,1,0,0,16,0,6.52209
69,69,8,34,0,0,1,1,1,0,0,16,0,6.61338
70,70,9,40,0,0,1,1,1,0,0,16,0,6.73934
71,71,24,47,1,0,0,1,0,0,1,12,0,6.65801
72,72,25,48,1,0,0,1,0,0,1,12,0,6.72623
73,73,26,45,1,0,0,1,0,0,1,12,0,6.80239
74,74,27,45,1,0,0,1,1,0,1,12,0,6.90776
75,75,28,47,1,0,0,1,1,0,1,12,0,7.03966
76,76,29,17,1,0,0,1,1,0,1,12,0,7.12769
77,77,30,47,1,0,0,1,1,0,1,12,0,7.24423
78,78,21,47,1,0,1,1,1,0,1,12,0,6.55108
79,79,22,46,1,0,1,1,1,0,1,12,0,6.62936
80,80,23,47,1,0,1,1,1,0,1,12,0,6.72263
81,81,24,47,1,0,1,1,1,0,1,12,0,6.7334
82,82,25,47,1,0,1,1,1,0,1,12,0,6.72263
83,83,26,47,1,0,1,1,1,0,1,12,0,6.95177
84,84,27,46,1,0,1,1,1,0,1,12,0,7.05272
85,85,26,48,1,0,1,1,1,0,0,12,0,6.90575
86,86,27,48,1,0,1,1,1,0,0,12,0,6.90073
87,87,28,50,1,0,1,1,1,0,0,12,0,7.17012
88,88,29,48,1,0,1,1,1,0,0,12,0,7.26543
89,89,30,48,1,0,1,1,1,0,0,12,0,7.25912
90,90,31,46,0,0,1,1,1,0,0,12,0,7.25488
91,91,32,46,1,0,1,1,1,0,0,12,0,7.40001
92,92,15,45,0,0,1,1,1,0,0,17,0,6.80239
93,93,16,45,0,0,1,1,1,0,0,17,0,6.80239
94,94,17,45,0,0,1,1,1,0,0,17,0,6.9256
95,95,18,44,0,0,1,1,1,0,0,17,0,7.00307
96,96,19,44,0,0,1,1,1,0,0,17,0,7.1309
97,97,20,44,0,0,1,1,1,0,0,17,0,7.12448
98,98,21,44,0,0,1,1,1,0,0,17,0,7.12287
99,99,9,50,0,0,0,0,0,1,0,14,0,5.94017
100,100,10,46,0,0,0,0,0,1,0,14,0,5.86079
101,101,11,48,0,0,0,0,0,1,0,14,0,5.99894
102,102,12,46,0,0,0,0,0,1,0,14,0,6.0845
103,103,13,48,0,0,0,0,0,1,0,14,0,6.39526
104,104,14,41,0,0,0,0,0,1,0,14,0,6.47697
105,105,15,48,0,0,0,0,0,1,0,14,0,6.47697
106,106,16,50,1,0,1,1,0,1,0,12,1,5.97889
107,107,17,50,1,0,1,1,0,1,0,12,1,5.78383
108,108,18,48,1,0,1,1,0,1,0,12,1,5.85793
109,109,19,48,1,0,1,1,0,1,0,12,1,5.95324
110,110,20,50,1,0,1,1,0,1,0,12,1,6.14633
111,111,21,50,1,0,1,1,0,1,0,12,1,6.17587
112,112,22,49,1,0,1,1,0,1,0,12,1,6.38856
113,113,16,49,0,1,0,0,1,0,0,14,0,6.62007
114,114,17,48,0,1,0,0,1,0,0,14,0,6.49224
115,115,18,49,0,1,0,0,1,0,0,14,0,6.77992
116,116,19,50,0,1,0,0,1,0,0,14,0,6.74524
117,117,20,51,0,1,0,0,1,0,0,14,0,7.09008
118,118,21,46,0,1,0,0,1,0,0,14,0,7.1309
119,119,22,47,0,1,0,0,1,0,0,14,0,7.1309
120,120,25,47,0,1,1,1,1,0,0,16,0,6.90575
121,121,26,46,0,1,1,1,1,0,0,16,0,6.90575
122,122,27,47,0,1,1,1,1,0,0,16,0,7.6009
123,123,28,47,0,1,1,1,1,0,0,16,0,7.64969
124,124,29,47,0,1,1,1,1,0,0,16,0,7.71869
125,125,30,48,0,1,1,1,1,0,0,16,0,7.78322
126,126,31,47,0,1,1,1,1,0,0,16,0,7.80384
127,127,40,37,1,1,0,1,1,0,1,12,0,6.38688
128,128,41,49,1,1,0,1,1,0,1,12,0,6.47389
129,129,42,50,1,1,0,1,1,0,1,12,0,6.54247
130,130,43,47,1,1,0,1,1,0,1,12,0,6.67582
131,131,44,47,1,1,0,1,1,0,1,12,0,6.7417
132,132,45,25,1,1,0,1,1,0,1,12,0,6.83195
133,133,46,40,1,1,0,1,1,0,1,12,0,6.93634
134,134,25,50,0,0,0,0,1,0,0,16,0,6.78333
135,135,26,49,0,1,0,0,1,0,0,16,0,6.85751
136,136,27,49,0,1,0,0,1,0,0,16,0,6.98472
137,137,28,48,0,1,0,0,1,0,0,16,0,7.0579
138,138,29,48,0,1,0,0,1,0,0,16,0,7.20564
139,139,30,49,0,1,0,0,1,0,0,16,0,7.10988
140,140,31,48,0,1,0,0,1,0,0,16,0,7.26683
141,141,28,42,1,1,1,0,1,0,1,4,0,6.05912
142,142,29,46,1,1,1,0,1,0,1,4,0,6.05209
143,143,30,49,1,1,1,0,1,0,1,4,0,5.99146
144,144,31,49,1,1,1,0,1,0,1,4,0,6.21461
145,145,32,48,1,0,1,0,1,0,1,4,0,6.32436
146,146,33,45,1,0,1,0,1,0,1,4,0,6.44254
147,147,34,42,1,1,1,0,1,0,1,4,0,6.44254
148,148,20,46,0,0,0,0,1,0,0,14,0,6.59987
149,149,21,45,0,0,0,0,1,0,0,14,0,6.59987
150,150,22,44,0,0,0,0,1,0,0,14,0,6.68461
151,151,23,46,0,0,0,0,1,0,0,14,0,6.72743
152,152,24,47,0,0,0,0,1,0,0,14,0,6.88244
153,153,25,51,0,1,0,0,1,0,0,14,0,6.95655
154,154,26,47,0,0,0,0,1,0,0,14,0,7.04752
155,155,11,50,0,0,0,1,1,0,0,16,0,6.90575
156,156,12,50,0,0,0,1,1,0,0,16,0,6.90575
157,157,13,51,0,0,0,1,1,0,0,16,0,7.49554
158,158,14,50,0,0,0,1,1,0,0,16,0,7.66153
159,159,15,48,0,0,0,1,1,0,0,16,0,7.86327
160,160,16,47,0,0,0,1,1,0,0,16,0,8.03916
161,161,17,50,0,0,0,1,1,0,0,16,0,7.89357
162,162,5,30,0,0,0,0,0,1,0,12,0,5.43808
163,163,6,51,0,0,0,0,0,1,0,12,0,5.52146
164,164,7,51,1,0,0,0,0,1,0,12,0,5.57973
165,165,8,52,1,0,0,0,0,1,0,12,0,5.66988
166,166,9,49,1,0,0,0,0,1,0,12,0,5.73657
167,167,10,51,1,0,0,0,0,1,1,12,0,5.84354
168,168,11,50,1,0,0,0,0,1,0,12,0,5.85793
169,169,8,37,0,0,0,1,1,0,1,17,0,6.52942
170,170,9,39,0,0,0,1,1,0,1,17,0,6.57925
171,171,10,40,0,0,0,1,1,0,1,17,0,6.71538
172,172,11,38,0,0,0,1,1,0,1,17,0,6.68461
173,173,12,38,0,0,0,1,1,0,1,17,0,6.79122
174,174,13,39,0,0,0,1,1,0,1,17,0,6.97541
175,175,14,41,0,0,0,1,1,0,1,17,0,6.90776
176,176,14,48,0,1,1,1,1,0,0,15,0,6.47697
177,177,15,47,1,1,1,1,1,0,0,15,0,6.55108
178,178,16,49,0,1,1,1,1,0,0,15,0,6.86693
179,179,17,48,0,1,1,1,1,0,0,15,0,6.85646
180,180,18,47,0,1,1,1,1,0,0,15,0,7.27932
181,181,19,47,0,1,1,1,1,0,0,15,0,7.54961
182,182,20,48,0,1,1,1,1,0,0,15,0,7.36708
183,183,8,50,0,0,0,1,0,0,0,16,0,6.01616
184,184,9,52,0,0,0,1,0,0,0,16,0,6.90575
185,185,10,48,0,0,0,0,0,0,0,16,0,7.04752
186,186,11,50,0,0,0,0,0,0,0,16,0,7.26193
187,187,12,50,0,0,0,0,0,0,0,16,0,7.09008
188,188,13,45,0,0,0,0,0,0,0,16,0,6.96319
189,189,14,23,0,0,0,0,0,0,0,16,0,7.31322
190,190,26,50,1,0,0,1,1,0,0,12,0,6.7334
191,191,27,50,1,0,0,1,1,0,0,12,0,6.69703
192,192,28,50,1,0,0,1,1,0,0,12,0,6.68461
193,193,29,50,1,0,0,1,1,0,0,12,0,6.74524
194,194,30,50,1,0,0,1,1,0,0,12,0,6.73102
195,195,31,49,1,0,0,1,1,0,0,12,0,6.80239
196,196,32,49,1,0,0,1,1,0,0,12,0,6.74524
197,197,31,49,0,0,0,1,1,0,0,14,0,6.90575
198,198,32,49,0,0,0,1,1,0,0,14,0,6.90575
199,199,33,49,0,0,0,1,1,0,0,14,0,7.06219
200,200,34,49,0,0,0,1,1,0,0,14,0,7.57558
201,201,35,50,0,0,0,1,1,0,0,14,0,7.67322
202,202,36,49,0,0,0,1,1,0,0,14,0,7.47307
203,203,37,49,0,0,0,1,1,0,0,14,0,7.56008
204,204,17,47,0,0,1,1,0,1,0,12,0,6.19644
205,205,18,47,0,0,1,1,0,1,0,12,0,6.29895
206,206,19,48,0,0,1,1,0,1,0,12,0,6.3315
207,207,20,49,0,0,1,1,0,1,0,12,0,6.36303
208,208,21,49,0,0,1,1,0,1,0,12,0,6.48158
209,209,22,45,0,0,1,1,0,1,0,12,0,6.57786
210,210,23,49,0,0,1,1,0,1,0,12,0,6.64379
211,211,22,48,0,1,0,1,1,0,0,17,0,6.90575
212,212,23,48,0,1,0,1,1,0,0,17,0,6.90575
213,213,24,48,0,1,0,1,1,0,0,17,0,7.31322
214,214,25,47,0,1,0,1,1,0,0,17,0,7.24423
215,215,26,43,0,1,0,1,1,0,0,17,0,7.48437
216,216,27,47,0,0,0,1,1,0,0,17,0,7.54961
217,217,28,45,0,1,0,1,1,0,0,17,0,7.61332
218,218,30,50,0,1,0,1,1,0,0,16,0,6.90575
219,219,31,49,0,1,0,1,1,0,0,16,0,6.90575
220,220,32,49,0,1,0,1,1,0,0,16,0,7.46737
221,221,33,48,0,1,0,1,1,0,0,16,0,7.40853
222,222,34,49,0,1,0,1,1,0,0,16,0,7.60589
223,223,35,47,0,1,0,1,1,0,0,16,0,8.04879
224,224,36,47,0,1,0,1,1,0,0,16,0,7.74066
225,225,14,51,0,0,0,1,1,0,0,16,0,6.90575
226,226,15,47,0,0,0,1,1,0,0,16,0,6.90575
227,227,16,51,0,0,0,1,1,0,0,16,0,7.17012
228,228,17,47,0,0,0,1,1,0,0,16,0,7.27932
229,229,18,48,0,0,0,1,1,0,0,16,0,7.24065
230,230,19,50,0,0,0,1,1,0,0,16,0,7.37776
231,231,20,49,0,0,0,1,1,0,0,16,0,7.46737
232,232,45,48,1,0,1,0,1,0,0,8,0,5.7589
233,233,46,48,1,0,1,0,1,0,0,8,0,5.86079
234,234,47,48,1,0,1,0,1,0,0,8,0,5.82305
235,235,48,49,1,0,1,0,1,0,0,8,0,5.94803
236,236,49,50,1,0,1,0,1,0,0,8,0,6.24804
237,237,50,48,1,0,1,0,1,0,0,8,0,6.20658
238,238,51,46,1,0,1,0,1,0,0,8,0,5.98394
239,239,8,30,1,0,0,1,1,0,1,13,1,6.51471
240,240,9,49,1,1,0,1,1,0,1,13,1,6.6107
241,241,10,48,1,1,0,1,1,0,1,13,1,6.39693
242,242,11,49,1,1,0,1,1,0,1,13,1,6.75227
243,243,12,34,1,1,0,1,1,0,1,13,1,6.88653
244,244,13,48,1,1,0,1,1,0,1,13,1,7.01212
245,245,14,45,1,1,0,1,1,0,1,13,1,7.02554
246,246,15,52,1,0,1,1,1,0,0,10,0,6.62007
247,247,16,47,0,0,1,1,1,0,0,10,0,6.77422
248,248,17,50,0,0,1,0,1,0,0,10,0,7.1309
249,249,18,50,0,0,1,0,1,0,0,10,0,7.08841
250,250,19,48,0,0,1,1,1,0,0,10,0,7.1309
251,251,20,50,0,0,1,1,1,0,0,10,0,6.90776
252,252,21,41,0,0,1,1,1,0,0,10,0,7.18007
253,253,12,52,0,0,0,1,1,0,0,14,0,6.90575
254,254,13,47,0,0,0,1,1,0,0,14,0,6.7417
255,255,14,50,0,0,0,1,1,0,0,14,0,7.00307
256,256,15,49,0,0,0,1,1,0,0,14,0,7.1309
257,257,16,50,0,0,0,1,1,0,0,14,0,7.14283
258,258,17,48,0,0,0,1,1,0,0,14,0,7.28276
259,259,18,49,0,0,0,1,0,0,0,14,0,7.40914
260,260,10,48,1,1,0,0,1,0,1,12,0,6.05209
261,261,11,49,1,1,0,0,1,0,1,12,0,6.05209
262,262,12,48,1,1,0,0,1,0,1,12,0,6.05209
263,263,13,48,1,1,0,0,1,0,1,12,0,6.36819
264,264,14,49,1,1,0,0,1,0,1,12,0,6.43615
265,265,15,48,0,1,0,0,1,0,1,12,0,6.54965
266,266,16,49,1,1,0,0,1,0,1,12,0,6.52209
267,267,6,47,0,0,0,1,1,0,0,13,0,6.47697
268,268,7,51,0,0,0,1,0,0,0,13,0,6.58617
269,269,8,48,0,0,0,1,0,0,0,13,0,6.47697
270,270,9,50,0,0,0,1,0,0,0,13,0,6.52942
271,271,10,50,0,0,0,1,0,0,0,13,0,6.80239
272,272,11,52,0,0,0,1,0,0,0,13,0,6.77992
273,273,12,51,0,0,0,1,1,0,0,13,0,6.80793
274,274,30,47,0,0,1,0,1,0,1,8,0,6.35784
275,275,31,39,0,0,1,0,1,0,1,8,0,6.49979
276,276,32,32,0,0,1,0,1,0,1,8,0,6.58203
277,277,33,35,0,0,1,0,1,0,1,8,0,6.69456
278,278,34,47,0,0,1,0,1,0,1,8,0,6.78784
279,279,35,45,0,0,1,0,1,0,1,8,0,6.90776
280,280,36,47,0,0,1,0,1,0,1,8,0,7.35819
281,281,20,50,0,0,1,1,1,0,0,16,0,6.90575
282,282,21,50,0,0,1,1,1,0,0,16,0,6.90575
283,283,22,50,0,0,1,1,1,0,0,16,0,7.37776
284,284,23,50,0,0,1,1,1,0,0,16,0,7.49109
285,285,24,50,0,0,1,1,1,0,0,16,0,7.57558
286,286,25,48,0,0,1,1,1,0,0,16,0,7.52833
287,287,26,47,0,0,1,1,1,0,0,16,0,7.745
288,288,30,38,1,1,0,1,0,1,1,12,1,6.2186
289,289,31,41,1,0,0,1,0,1,1,12,1,6.49375
290,290,32,51,1,0,0,1,0,1,1,12,1,6.58064
291,291,33,50,1,1,0,1,0,1,1,12,1,6.6896
292,292,34,42,1,1,0,1,0,1,1,12,1,6.79347
293,293,35,50,1,1,0,1,0,1,1,12,1,6.92461
294,294,36,49,1,1,0,1,0,1,1,12,1,7.02554
295,295,5,49,0,0,0,1,1,0,0,16,0,6.68461
296,296,6,47,0,0,0,1,1,0,0,16,0,6.84375
297,297,7,48,0,0,0,1,1,0,0,16,0,6.90776
298,298,8,49,0,0,0,1,1,0,0,16,0,7.00307
299,299,9,46,0,0,0,1,1,0,0,16,0,7.1309
300,300,10,45,0,0,0,1,1,0,0,16,0,7.40853
301,301,11,49,0,0,0,1,1,0,0,16,0,7.43838
302,302,7,48,0,1,0,1,1,0,0,17,0,6.90575
303,303,8,48,0,1,0,1,1,0,0,17,0,6.90575
304,304,9,48,0,1,0,1,1,0,0,17,0,7.20786
305,305,10,47,0,1,0,1,1,0,0,17,0,7.31322
306,306,11,46,0,1,0,1,1,0,0,17,0,7.43838
307,307,12,46,0,1,0,1,1,0,0,17,0,7.49332
308,308,13,46,0,1,0,1,1,0,0,17,0,7.6009
309,309,13,49,0,0,0,1,0,1,0,13,0,6.22456
310,310,14,50,0,0,0,1,0,1,0,13,0,6.33328
311,311,15,50,0,0,0,1,0,1,0,13,0,6.30992
312,312,16,50,0,0,0,1,0,1,0,13,0,6.47697
313,313,17,50,0,0,0,1,0,1,0,13,0,6.63332
314,314,18,50,0,0,0,1,0,1,0,13,0,6.68211
315,315,19,49,0,0,0,1,0,1,0,13,0,6.65286
316,316,6,42,1,0,0,0,1,0,1,12,0,6.12687
317,317,7,44,1,0,0,0,1,0,1,12,0,6.23245
318,318,8,48,1,0,0,0,1,0,1,12,0,6.32615
319,319,9,47,1,0,0,0,1,0,1,12,0,6.32436
320,320,10,48,1,0,0,0,1,0,1,12,0,6.4677
321,321,11,47,0,0,0,0,1,0,1,12,0,6.60665
322,322,12,47,1,0,0,0,1,0,1,12,0,6.55108
323,323,26,48,0,0,0,1,1,0,0,14,0,6.90575
324,324,27,49,0,0,0,1,1,0,0,14,0,6.90575
325,325,28,48,0,0,0,1,1,0,0,14,0,7.04752
326,326,29,48,0,0,0,1,1,0,0,14,0,7.09008
327,327,30,48,0,0,0,1,1,0,0,14,0,7.20786
328,328,31,47,0,0,0,1,1,0,0,14,0,7.11802
329,329,32,48,0,0,0,1,1,0,0,14,0,7.09008
330,330,26,50,0,1,0,1,0,0,0,16,0,6.90575
331,331,27,50,0,1,0,1,0,0,0,16,0,6.90575
332,332,28,50,0,1,0,1,0,0,0,16,0,7.1309
333,333,29,50,0,1,0,1,0,0,0,16,0,7.22621
334,334,30,48,0,1,0,1,1,0,0,16,0,7.1309
335,335,31,41,0,1,0,1,1,0,0,16,0,7.31322
336,336,32,49,0,1,0,1,0,0,0,16,0,7.43838
337,337,31,47,0,1,0,0,1,0,0,16,0,6.90575
338,338,32,46,0,1,0,0,1,0,0,16,0,6.90575
339,339,33,47,0,1,0,0,1,0,0,16,0,7.6009
340,340,34,48,0,1,0,0,1,0,0,16,0,7.67601
341,341,35,47,0,1,0,0,1,0,0,16,0,7.7021
342,342,36,49,0,1,0,0,1,0,0,16,0,7.69621
343,343,37,48,0,1,0,0,1,0,0,16,0,7.82084
344,344,31,50,0,0,0,1,0,1,1,12,0,6.27099
345,345,32,45,0,0,0,1,0,1,1,12,0,6.39859
346,346,33,43,0,0,0,1,0,1,1,12,0,6.48311
347,347,34,48,0,0,0,1,0,1,1,12,0,6.55678
348,348,35,46,0,0,0,1,0,1,1,12,0,6.65544
349,349,36,32,0,0,0,1,0,1,1,12,0,6.74876
350,350,37,28,0,0,0,1,0,1,1,12,0,6.84907
351,351,31,45,0,1,0,1,1,0,0,17,0,6.90575
352,352,32,48,0,1,0,1,1,0,0,17,0,6.90575
353,353,33,48,0,1,0,1,1,0,0,17,0,7.6009
354,354,34,47,0,0,0,1,1,0,0,17,0,7.64969
355,355,35,48,0,1,0,1,1,0,0,17,0,7.82405
356,356,36,47,0,1,0,1,1,0,0,17,0,7.86327
357,357,37,44,0,1,0,1,1,0,0,17,0,7.91936
358,358,25,46,0,0,0,1,1,0,0,16,0,6.90575
359,359,26,49,0,0,0,1,1,0,0,16,0,6.90575
360,360,27,49,0,0,0,1,1,0,0,16,0,7.24423
361,361,28,48,0,0,0,1,1,0,0,16,0,7.1309
362,362,29,48,0,0,0,1,1,0,0,16,0,7.46737
363,363,30,48,0,0,0,1,1,0,0,16,0,7.6009
364,364,31,49,0,0,0,1,1,0,1,16,0,7.64969
365,365,13,47,0,0,1,0,1,0,0,13,0,6.43615
366,366,14,49,0,0,1,0,1,0,0,13,0,6.90575
367,367,15,48,1,0,0,0,1,0,0,13,0,6.95655
368,368,16,49,1,0,0,0,1,0,0,13,0,6.95655
369,369,17,48,0,0,0,0,1,0,0,13,0,7.06048
370,370,18,47,1,0,0,0,1,0,0,13,0,7.20786
371,371,19,48,0,0,0,0,1,0,0,13,0,7.20786
372,372,13,47,1,1,0,0,1,0,1,11,0,6.51175
373,373,14,52,1,1,0,0,1,0,1,11,0,6.5903
374,374,15,51,1,1,0,0,1,0,1,11,0,6.68461
375,375,16,51,1,1,0,0,1,0,1,11,0,6.74524
376,376,17,49,1,1,0,0,1,0,1,11,0,6.8977
377,377,18,49,1,1,0,0,1,0,1,11,0,7.0775
378,378,19,50,1,1,0,0,1,0,1,11,0,7.10003
379,379,32,49,1,1,0,1,1,0,1,8,0,6.65415
380,380,33,49,1,1,0,1,1,0,1,8,0,6.85013
381,381,34,49,1,1,0,1,1,0,1,8,0,6.85646
382,382,35,47,1,1,0,1,1,0,1,8,0,6.92363
383,383,36,48,1,1,0,1,1,0,1,8,0,7.04141
384,384,37,47,1,1,0,1,1,0,1,8,0,7.1333
385,385,38,46,1,1,0,1,1,0,1,8,0,7.20786
386,386,23,51,1,1,1,0,1,0,0,12,0,6.10925
387,387,24,49,1,1,1,0,1,0,0,12,0,6.16331
388,388,25,52,1,1,1,0,1,0,0,12,0,6.33328
389,389,26,52,1,1,1,0,1,0,0,12,0,6.33328
390,390,27,48,1,1,1,0,1,0,0,12,0,6.43775
391,391,28,50,1,1,1,0,1,0,0,12,0,6.58617
392,392,29,50,1,1,1,0,1,0,0,12,0,6.53379
393,393,21,47,1,0,1,1,1,0,0,11,0,6.04025
394,394,22,49,1,0,1,1,1,0,0,11,0,6.28972
395,395,23,49,1,0,1,1,1,0,0,11,0,6.01616
396,396,24,49,0,0,1,1,1,0,0,11,0,6.57786
397,397,25,47,0,0,1,1,1,0,0,11,0,6.55108
398,398,26,48,0,0,1,1,1,0,0,11,0,6.53233
399,399,27,48,0,0,1,1,1,0,0,11,0,6.31355
400,400,37,49,1,1,0,1,1,0,1,14,0,6.55108
401,401,38,48,1,1,0,1,1,0,1,14,0,6.68461
402,402,39,40,1,1,0,1,1,0,1,14,0,6.69703
403,403,40,48,1,1,0,1,1,0,0,14,0,6.90776
404,404,41,48,1,1,0,1,1,0,1,14,0,7.00307
405,405,42,48,1,1,0,1,1,0,1,14,0,7.1624
406,406,43,48,1,1,0,1,1,0,0,14,0,7.1309
407,407,26,48,0,1,0,1,1,0,0,17,0,6.90575
408,408,27,49,0,1,0,1,1,0,0,17,0,6.90575
409,409,28,48,0,1,0,1,1,0,0,17,0,7.34601
410,410,29,47,0,1,0,1,1,0,0,17,0,7.43838
411,411,30,46,0,1,0,1,1,0,0,17,0,7.48156
412,412,31,48,0,1,0,1,1,0,0,17,0,7.6009
413,413,32,46,0,1,0,1,1,0,0,17,0,7.64969
414,414,18,46,0,0,0,1,0,1,1,11,1,5.97635
415,415,19,39,0,0,0,1,0,1,1,11,1,6.04025
416,416,20,44,0,0,0,1,0,1,1,11,1,6.04025
417,417,21,49,1,0,0,1,0,1,1,11,1,6.04025
418,418,22,48,0,0,0,1,0,1,1,11,1,6.1203
419,419,23,47,1,0,0,1,0,1,1,11,1,6.2186
420,420,24,43,1,0,0,1,0,1,1,11,1,6.1717
421,421,24,50,0,0,0,1,0,1,1,17,0,6.78559
422,422,25,51,0,0,0,1,0,1,0,17,0,6.88857
423,423,26,51,0,0,0,1,0,1,0,17,0,6.88755
424,424,27,50,0,0,0,1,0,1,0,17,0,6.96885
425,425,28,22,0,0,0,1,0,1,0,17,0,6.85646
426,426,29,41,0,0,0,1,0,1,0,17,0,6.73815
427,427,30,26,0,0,0,1,0,1,0,17,0,7.1309
428,428,7,50,1,0,1,0,1,0,0,16,0,6.58064
429,429,8,50,1,1,1,0,1,0,0,16,0,6.83518
430,430,9,50,1,1,1,0,1,0,0,16,0,6.91274
431,431,10,50,1,1,1,0,1,0,0,16,0,6.95845
432,432,11,49,1,1,1,0,1,0,0,16,0,6.9256
433,433,12,49,1,1,1,0,1,0,0,16,0,7.23778
434,434,13,49,1,1,1,0,1,0,0,16,0,7.2724
435,435,11,50,0,0,0,0,1,0,0,17,0,6.90575
436,436,12,49,0,0,0,0,1,0,0,17,0,6.90575
437,437,13,50,0,0,0,0,1,0,0,17,0,7.49554
438,438,14,49,0,0,0,0,1,0,0,17,0,7.54961
439,439,15,49,0,0,0,0,1,0,0,17,0,7.52564
440,440,16,48,0,0,0,0,1,0,0,17,0,7.72886
441,441,17,50,0,0,0,0,1,0,0,17,0,7.36645
442,442,34,44,1,1,0,1,1,0,0,12,0,6.35611
443,443,35,46,1,1,0,1,1,0,0,12,0,6.42162
444,444,36,49,1,1,0,1,1,0,0,12,0,6.47697
445,445,37,48,1,1,0,1,1,0,0,12,0,6.53669
446,446,38,45,1,1,0,1,1,0,0,12,0,6.55108
447,447,39,47,1,1,0,1,1,0,0,12,0,6.68461
448,448,40,50,1,1,0,1,1,0,0,12,0,6.80239
449,449,30,46,1,1,0,1,1,0,1,8,0,6.55536
